req_id,prompt_tokens,generation_tokens,offload_target,total_latency_ms
619,737,598,cloud,738.6390342704544
620,38,87,cloud,274.0911713221576
621,1,27,cloud,219.54546362138353
622,12,420,cloud,576.8182304670045
623,7,513,cloud,661.363685284945
624,16,527,cloud,674.0910069972742
626,80,373,cloud,534.0914180185064
625,182,489,cloud,639.5466821673035
627,4,46,cloud,236.81821953176404
630,32,1,cloud,195.90928002499277
629,4,111,cloud,295.90910521234036
633,26,61,cloud,250.45466887255316
632,21,146,cloud,327.7273686398112
628,359,372,cloud,533.1852269247465
631,15,285,cloud,454.0910294831556
636,4,44,cloud,235.00002749747364
637,32,47,cloud,237.72753893895424
638,7,29,cloud,221.3636772208847
634,293,287,cloud,455.9103967800038
635,6,337,cloud,501.36368441884406
639,20,349,cloud,512.2728100795648
640,4,31,cloud,223.18183902426972
641,322,518,cloud,665.9115192346508
642,528,107,cloud,292.2747825953993
643,121,84,cloud,271.364277960849
645,299,31,cloud,223.18332890066085
644,17,174,cloud,353.1819339786016
646,23,210,cloud,385.9092016745126
648,5,220,cloud,395.0000227094861
649,16,98,cloud,284.090980712499
647,8,330,cloud,495.0000569758704
650,7,106,cloud,291.36367343435995
652,6,204,cloud,380.45457930272096
651,7,503,cloud,652.2727514135768
653,26,253,cloud,425.0002275457373
654,76,339,cloud,503.1824108049623
655,1,9,cloud,203.18182683491614
658,10,21,cloud,214.09096426083124
656,20,375,cloud,535.9091625962756
657,336,601,cloud,741.3662475578603
659,259,97,cloud,283.1834212044778
660,295,207,cloud,383.1831833955075
661,5,18,cloud,211.36368349651457
662,829,19,cloud,212.27877679429366
663,7,17,cloud,210.45458432708983
664,19,517,cloud,665.0001133373007
665,38,196,cloud,373.18203757095034
666,70,241,cloud,414.09146064915694
667,3,26,cloud,218.6363912304223
669,4,75,cloud,263.1818326067296
670,6,188,cloud,365.90913774381625
668,71,313,cloud,479.5457521651115
671,149,125,cloud,308.63774223270593
672,39,31,cloud,223.1821769354574
673,66,1,cloud,195.90962987055536
676,52,114,cloud,298.63672738766763
674,343,449,cloud,603.1841412591457
675,16,804,cloud,925.909169281309
677,5,36,cloud,227.7272974999505
678,5,59,cloud,248.63640097583993
679,104,236,cloud,409.5459588129597
680,83,14,cloud,207.7278860330698
681,120,302,cloud,469.54593350423966
682,6,237,cloud,410.4545682508324
683,254,18,cloud,211.3659022366337
685,12,290,cloud,458.6364543296222
684,9,359,cloud,521.3637046800868
686,22,250,cloud,422.2728307774523
687,7,22,cloud,215.00004852874554
688,24,1,cloud,195.909167769365
689,12,142,cloud,324.0909809045552
690,151,24,cloud,216.81946350788348
693,1,9,cloud,203.181825374224
692,8,88,cloud,275.000075122196
691,329,223,cloud,397.72863813868025
694,121,83,cloud,270.4555715920578
695,15,31,cloud,223.18187589963782
697,103,48,cloud,238.63734802612453
696,4,81,cloud,268.63639259597403
698,7,51,cloud,241.36368980971747
699,42,17,cloud,210.45475438720314
701,6,6,cloud,200.4545886659762
700,6,471,cloud,623.1818660670251
702,55,477,cloud,628.6366689316055
703,35,31,cloud,223.18212691307417
705,258,7,cloud,201.36550950701348
704,10,75,cloud,263.1819067072065
706,2,9,cloud,203.1818292394455
707,31,15,cloud,208.63651376057533
708,1,9,cloud,203.1818216192769
710,15,26,cloud,218.63645544074825
709,69,193,cloud,370.45502038882114
711,29,560,cloud,704.0910192499578
713,14,98,cloud,284.0910110010882
714,249,101,cloud,286.82036505211727
716,15,13,cloud,206.81831273055286
715,4,206,cloud,382.27274444920477
718,5,19,cloud,212.2727651387686
717,11,137,cloud,319.54553266218863
719,14,14,cloud,207.72737263614545
720,197,23,cloud,215.909903364809
721,17,31,cloud,223.18192848926992
722,19,59,cloud,248.63648105046013
724,4,9,cloud,203.18183674188913
712,28,1108,cloud,1202.272934361914
723,11,200,cloud,376.8182482899865
726,31,12,cloud,205.90933061699616
727,19,0,cloud,195.00011274701683
728,22,446,cloud,600.454744712275
725,34,1015,cloud,1117.7275148690678
729,14,33,cloud,225.00004670396447
730,12,105,cloud,290.45459959097207
731,2,17,cloud,210.45455754219438
732,23,339,cloud,503.18190118222265
734,9,86,cloud,273.18185692772386
733,47,181,cloud,359.5458365131344
738,66,1,cloud,195.9093109331443
736,83,232,cloud,405.90938961243955
735,9,641,cloud,777.727307185356
737,238,539,cloud,685.0009020375146
739,313,92,cloud,278.63894646105473
740,16,269,cloud,439.545588957204
743,79,391,cloud,550.4552241416823
741,292,565,cloud,708.6376920493203
746,7,6,cloud,200.45460810494842
742,32,698,cloud,829.5455995503289
747,36,19,cloud,212.27291538956342
745,8,452,cloud,605.9091446911625
744,570,536,cloud,682.2749807403889
749,24,26,cloud,218.6364786401682
748,529,565,cloud,708.638872700918
