req_id,prompt_tokens,generation_tokens,offload_target,total_latency_ms
778,77,1611,user,27106998.248448927
779,34,69,user,27119281.107726328
780,11,57,user,27129132.90803531
781,10,565,user,27225492.409678373
782,109,24,user,27229622.754527975
783,42,113,user,27248938.192919057
784,2,9,user,27250825.416115005
785,396,355,user,27311480.03642957
786,632,16,user,27314527.692873616
787,45,74,user,27327572.72495543
788,120,499,user,27413266.572417203
789,81,45,user,27421446.521578256
790,22,15,user,27424316.179021817
791,553,293,user,27474759.736627586
792,80,466,user,27554596.16023644
793,7,101,user,27572261.870765228
794,439,501,user,27658190.16450144
795,28,581,user,27757868.731916066
796,12,39,user,27764999.22225393
797,544,128,user,27786986.23906785
798,95,190,user,27819991.65053083
799,6,346,user,27879320.59801948
800,6,254,user,27923197.785560608
801,13,196,user,27957113.981255576
802,86,28,user,27962466.307269823
803,390,88,user,27977978.52772753
804,32,81,user,27992232.603476617
805,88,251,user,28035383.416679423
806,25,377,user,28100199.724540927
807,20,95,user,28116813.237034354
808,53,82,user,28130862.898487315
809,30,235,user,28171533.80961906
810,34,526,user,28261017.405460257
811,17,186,user,28292164.551973008
812,1,9,user,28293990.264076322
813,13,280,user,28342141.58761882
814,865,362,user,28404454.76645407
815,11,153,user,28431135.652160328
816,111,1,user,28431769.44458883
817,11,11,user,28433712.67301761
818,665,44,user,28441787.85255353
819,28,660,user,28554705.20937283
820,5,18,user,28558194.76021374
821,588,436,user,28633005.546251163
822,3,19,user,28636597.432046987
823,19,17,user,28639768.10406262
824,9,301,user,28691311.42923793
825,10,154,user,28718165.770273175
826,13,545,user,28811217.905814204
827,453,22,user,28815343.499626074
828,22,131,user,28838216.147052646
829,7,22,user,28842468.063314836
830,336,75,user,28855829.865766533
831,2,367,user,28918937.888881866
832,1044,8,user,28920503.781198297
833,409,324,user,28976247.053480476
834,645,111,user,28995522.954135902
835,113,499,user,29080673.5755658
836,21,102,user,29098189.80316234
837,7,14,user,29101126.015741006
838,260,1462,user,29351194.868427776
839,129,228,user,29390420.78423889
840,49,5,user,29391668.50076586
841,23,18,user,29394906.48230917
842,382,13,user,29397200.999186154
843,53,152,user,29423376.494431257
844,11,5,user,29424789.892408673
845,21,15,user,29427600.333029766
846,26,232,user,29467335.101556852
847,4,13,user,29470060.449097328
848,21,25,user,29474637.40693316
849,22,342,user,29533158.117768638
850,15,261,user,29578263.806412384
851,10,237,user,29619036.865371343
852,3,2,user,29619765.84846293
